run,y/R,z/H,t1_vec,t2,meanu,meanv,meanw,stdu,stdv,stdw,meanupvp,meanupwp,meanvpwp,meanupup,meanvpvp,meanwpwp,meanuu,vectemp,fpeak_u,fstrength_u,fpeak_v,fstrength_v,fpeak_w,fstrength_w,t1_perf,nbladepass,tsr,cp,cd,ct,std_tsr,std_cp,std_cd,std_ct,eta2,a,torque_ripple,amp_tsr,phase_tsr,amp_cp,phase_cp,amp_cd,phase_cd,amp_ct,phase_ct
1,0.0,0.25,13,29.89,0.3930375962107756,-0.05645500296033157,-0.23293783303730017,0.15897166042232433,0.1869421250002266,0.12880427336185418,0.0028491565380035413,-0.004137457044169408,0.004097224556134301,0.0252719888174308,0.03494735809960035,0.01659054083627526,0.17975054085257552,19.3,1.0501422491186385,0.031938235930818765,0.570077220950118,0.02751619410822604,1.0501422491186385,0.08858904577724096,13,50.0,3.099632033623166,-0.0568601541522153,1.1043507182079098,-0.018661312350466672,0.05677321367187711,0.06128460217275451,0.4928116848880516,0.020133196522881987,-0.11229631119844503,0.5415040282784457,-5.507231929542888,0.1107411410390604,42.81689999999981,0.15773177565486474,38.41859999999997,0.9427555761706,5.149199999999837,0.05138608761183155,38.41859999999997
2,0.0,0.25,13,29.76,0.39459009546539386,-0.06506533412887827,-0.20158204057279236,0.1704959465142652,0.17988923658155737,0.13393029239724566,0.003984440104685835,-0.0030153811825020934,0.0028463050516451547,0.02906886777779518,0.032360137437895516,0.017937323221611717,0.18477021121718376,19.3,0.5936556069033285,0.05274051091381781,0.5936556069033285,0.04952213130453247,0.5936556069033285,0.042361425423943444,13,48.0,2.9996106698226166,-0.01151595821212672,1.0853320199242942,-0.004192832501145426,0.05803730972713581,0.06197852496287828,0.4739152861834531,0.02082824256977292,-0.022378608298820917,0.5258624081168232,-29.08587883644672,0.13241813034870642,33.321899999999914,0.18298896619633848,34.75019999999949,0.9012021480090358,1.9155000000000653,0.060976109054915864,34.75019999999949
3,0.0,0.25,13,29.97,0.40307690041249267,-0.0025895698291101927,-0.20560430170889807,0.1580781257815783,0.1617478224411644,0.11794562381011055,0.0005998084495360634,-0.00449408375876664,0.0013428529146377421,0.024988693850616483,0.026162358064458442,0.013911170175956115,0.18745968149675898,19.3,0.09576118875564847,0.04704216565146152,0.6064875287857737,0.04179482664075427,0.09576118875564847,0.09932599627569362,13,47.0,2.8998114528344523,0.02933273076986556,1.0764784824136129,0.009765930275384057,0.05596911965797848,0.05934245797742942,0.4549370338877503,0.020422783335998,0.05657485997989254,0.5183587718660503,10.905856288788982,0.12267919312272113,10.774199999999835,0.15445422682374055,23.73779999999988,0.8537293508037667,112.66440000000013,0.053252916054835946,23.73779999999988
4,0.0,0.25,13,29.83,0.3788966131907308,-0.01371628045157457,-0.2086452762923351,0.15389736417224725,0.16875157625445583,0.12602325146909069,0.00019381483493845827,-0.0013692298146612397,0.003151866381122751,0.023684398699165294,0.02847709448836342,0.015881859910841668,0.16724704218657158,19.3,0.9001531550583121,0.05782163354446049,1.4335772469447192,0.03767312171870641,0.6334411091151085,0.07367437546410167,13,45.0,2.7995170521780173,0.06870411881932892,1.0691317215807872,0.02413017947298028,0.05814673002465159,0.06259849609849764,0.4421724437255132,0.02195737322378481,0.1316880388631259,0.5120163980710652,4.65987333614999,0.12110839679592345,14.552399999999581,0.1590848841051435,8.46389999999974,0.8487560242557575,96.81779999999979,0.0562217899613273,8.46389999999974
5,0.0,0.25,13,29.68,0.3804622302158273,-0.03344874100719425,-0.166435551558753,0.14260078395799167,0.16873436976615452,0.1256240658406695,0.001872163956424788,-0.0019441757732303366,0.001827810245598485,0.02033498358543381,0.028471287540381366,0.015781405918340867,0.16508649220623503,19.3,0.9418086798755286,0.04696906057122081,1.220863103542352,0.05874109708754342,0.9418086798755286,0.06292280117476559,13,43.0,2.699758431833566,0.1043543280182284,1.0609488130466136,0.038123231654399285,0.06369238000569072,0.06692776528637906,0.4190564610261676,0.023888149282774274,0.19863425968660764,0.5048213876515116,3.30570761465284,0.13461724520638166,6.388500000000023,0.1759020794563821,115.79550000000015,0.7475091873243634,91.26749999999993,0.06301212858756093,115.79550000000015
6,0.0,0.25,13,29.91,0.3478364872856298,-0.016273802483737436,-0.13583175635718509,0.12980139104390775,0.13513893945308675,0.10737882787469932,-0.00011824820011043957,-0.002721499988546873,0.0008648036054444843,0.016848401116933455,0.018262532956505043,0.011530212675744306,0.13783862300413957,19.3,0.6788599707284868,0.04998798797532284,1.5363673021749966,0.025903197873098277,0.6788599707284868,0.039503546763554366,13,42.0,2.5998582463685564,0.13116603441178076,1.046704228153602,0.049747087886846085,0.07138516058044296,0.07380994197390026,0.4048503013958208,0.026992136159064633,0.24665214926544904,0.4919429222352928,2.5328009523291097,0.13870131565597554,114.87089999999986,0.1716252168637839,118.35059999999977,0.7331176911338614,89.00880000000005,0.06299973578770185,118.35059999999977
7,0.0,0.25,13,29.76,0.3040850238663485,-0.0037995226730310255,-0.09692511933174225,0.1380211654588439,0.1369310917578143,0.1111039583451011,0.0004946327159790615,-0.0031846609012501355,0.0031880049761906118,0.01904984211461757,0.018750123889986956,0.01234408955994996,0.11151754385441529,19.3,0.41244529686472026,0.037476344236449285,1.6122861604711793,0.044336783497127434,1.3123259445695645,0.06685589608036735,13,40.0,2.499609647534152,0.1597259710408042,1.0357330021651652,0.06300260379277668,0.07877156171796908,0.07889156518248512,0.3906256748768248,0.029578321932608436,0.2975352584332235,0.4816903619657239,1.9132116133037145,0.15016812884167652,111.24989999999978,0.15955895274462462,106.64519999999992,0.7013567565242206,86.27369999999974,0.060268656622356476,106.64519999999992
8,0.0,0.25,13,29.58,0.2489197828709288,-0.0017626658624849214,-0.0678658021712907,0.10724105157548945,0.11089356906712149,0.09298885635981778,0.00030569304308823253,-0.003559340561935333,0.0011247579572704481,0.011500643143016787,0.012297383660444444,0.008646927407106823,0.07346170144752713,19.3,0.43431223309736544,0.07508723910816464,0.11844879084473603,0.03412190458002043,0.43431223309736544,0.088767029703456,13,38.0,2.3995288385948204,0.1883134454136917,1.0352752190083487,0.07729254873416297,0.08848181118814259,0.08608588691475294,0.37285699183969495,0.032973561540081395,0.3506487291486708,0.4812558148392365,1.6975328596913395,0.16100662349657854,102.32069999999977,0.1714837095153562,98.77649999999994,0.6893192154133715,79.71810000000005,0.06560332064276794,98.77649999999994
9,0.0,0.25,13,29.85,0.23352492581602374,0.006828189910979227,-0.05025637982195845,0.10335543582515987,0.1145810735247174,0.08912352393529473,-0.0011226650053271579,-0.0017908609685741708,0.0017704402243569988,0.01068234611460874,0.013128822410076693,0.007943002518645052,0.06521623709198814,19.3,0.12159492956277292,0.08180062441278756,0.12159492956277292,0.04629731837735671,0.44584807506350077,0.12081978049675383,13,37.0,2.2999890111278747,0.20526742737307035,1.005278882224225,0.08777004496582662,0.0962379293197152,0.09110161782503057,0.3565443556605565,0.035915647982151085,0.3722358716998315,0.4514512157717437,1.558922137571789,0.1694889236612056,2.375700000000052,0.17242668083916216,10.715999999999894,0.6539950173231299,98.35829999999987,0.06841333305644921,10.715999999999894
10,0.0,0.25,13,29.66,0.1843733493397359,-0.0001671668667466972,-0.01076470588235294,0.10841834845328971,0.09537676266868902,0.08718485613040214,-2.6050733618777654e-05,-0.0016672727208530472,0.0017670912541487185,0.011754538281338947,0.009096726857159431,0.0076011991384789205,0.045748070228091235,19.3,0.12857225804616765,0.1005711436167659,0.12857225804616765,0.04266438811983328,1.1571503224155089,0.07952776806374857,13,35.0,2.1999806623453697,0.2216872980281127,0.9987318512859682,0.09887735380550426,0.10613645954414412,0.09797227508744684,0.3421050971777202,0.03974690607225787,0.3996232223201829,0.4445548329955612,1.5071338535913237,0.18064157758138788,87.9056999999998,0.18219440901289144,93.6887999999999,0.6463689707179652,67.80780000000004,0.07451070363690117,93.6887999999999
